L,ALPHA,fold_loglosses_json,logloss_mean,logloss_std
40,0.1,"{""2019/2020"": 1.8231801846183677, ""2020/2021"": 1.8432104008231422, ""2021/2022"": 1.8457688211010208, ""2022/2023"": 1.8489868720245288, ""2023/2024"": 1.842757640564992}",1.8407807838264105,0.010146581852599883
40,0.15,"{""2019/2020"": 1.8255593937935037, ""2020/2021"": 1.8423219118535956, ""2021/2022"": 1.8465694215988584, ""2022/2023"": 1.8487369010652024, ""2023/2024"": 1.8434413545715245}",1.8413257965765368,0.00917152333460499
40,0.2,"{""2019/2020"": 1.8269996683339385, ""2020/2021"": 1.8434164823608499, ""2021/2022"": 1.8473209335089922, ""2022/2023"": 1.8489705107068484, ""2023/2024"": 1.8447271232155176}",1.8422869436252292,0.008816777232982688
40,0.25,"{""2019/2020"": 1.826970571171703, ""2020/2021"": 1.844719245453913, ""2021/2022"": 1.8487347799807428, ""2022/2023"": 1.8494426727836237, ""2023/2024"": 1.846714416961561}",1.8433163372703085,0.009321891902103521
40,0.35,"{""2019/2020"": 1.8289321730494954, ""2020/2021"": 1.845295043556698, ""2021/2022"": 1.8494207732717811, ""2022/2023"": 1.8503642243899243, ""2023/2024"": 1.8493383804508414}",1.844670118943748,0.009011904496519278
40,0.5,"{""2019/2020"": 1.831629071872228, ""2020/2021"": 1.8464984018594373, ""2021/2022"": 1.848656441725037, ""2022/2023"": 1.8519544270492456, ""2023/2024"": 1.8523435864975772}",1.8462163858007052,0.008504275974015929
45,0.0,"{""2019/2020"": 1.8232649207546239, ""2020/2021"": 1.8431334447822465, ""2021/2022"": 1.8459436477030997, ""2022/2023"": 1.8480036827860384, ""2023/2024"": 1.849340155675682}",1.8419371703403382,0.01069746001533828
45,0.02,"{""2019/2020"": 1.8243256375839323, ""2020/2021"": 1.8430260093480568, ""2021/2022"": 1.8456867867273405, ""2022/2023"": 1.8478686509856321, ""2023/2024"": 1.8476410176580904}",1.8417096204606103,0.009910458132640356
45,0.05,"{""2019/2020"": 1.8233152584033911, ""2020/2021"": 1.8426886820902626, ""2021/2022"": 1.8447069323858294, ""2022/2023"": 1.8476804755960685, ""2023/2024"": 1.8445390748604173}",1.8405860846671938,0.009818862660684746
45,0.1,"{""2019/2020"": 1.8238576788790661, ""2020/2021"": 1.8420327923321296, ""2021/2022"": 1.8461628677640496, ""2022/2023"": 1.8489515852747536, ""2023/2024"": 1.8428001644299585}",1.8407610177359914,0.009845859214761245
45,0.15,"{""2019/2020"": 1.8253811539976936, ""2020/2021"": 1.8424575338932594, ""2021/2022"": 1.8461245987809751, ""2022/2023"": 1.8486752112937044, ""2023/2024"": 1.8430767276713056}",1.8411430451273876,0.009157696555918964
45,0.2,"{""2019/2020"": 1.8268114866186727, ""2020/2021"": 1.8428598259286166, ""2021/2022"": 1.8469559761314678, ""2022/2023"": 1.8487500891982918, ""2023/2024"": 1.844596627041485}",1.8419948009837068,0.008779208105042478
45,0.25,"{""2019/2020"": 1.827189574373556, ""2020/2021"": 1.8444845055089218, ""2021/2022"": 1.8486447767388872, ""2022/2023"": 1.8493979149663284, ""2023/2024"": 1.8468481333032736}",1.8433129809781934,0.009209892506156031
45,0.35,"{""2019/2020"": 1.8288372292864699, ""2020/2021"": 1.845281191233137, ""2021/2022"": 1.8492486962419095, ""2022/2023"": 1.8502097053531845, ""2023/2024"": 1.849267180289821}",1.8445688004809042,0.008997025032896316
45,0.5,"{""2019/2020"": 1.831646036185851, ""2020/2021"": 1.846504616469718, ""2021/2022"": 1.8486511764237599, ""2022/2023"": 1.8519338064078044, ""2023/2024"": 1.8523793602760519}",1.846222999152637,0.008499666233092505
50,0.0,"{""2019/2020"": 1.8235279949508885, ""2020/2021"": 1.8434748405597865, ""2021/2022"": 1.8461103435155553, ""2022/2023"": 1.848412085719506, ""2023/2024"": 1.8506432494827634}",1.8424337028457,0.01089914174523392
50,0.02,"{""2019/2020"": 1.8240570617003409, ""2020/2021"": 1.8439149472347143, ""2021/2022"": 1.8452712824458486, ""2022/2023"": 1.8481486150243234, ""2023/2024"": 1.8480246303390058}",1.8418833073488465,0.010128559845092354
50,0.05,"{""2019/2020"": 1.8230966251983727, ""2020/2021"": 1.8427354792146005, ""2021/2022"": 1.844020496395726, ""2022/2023"": 1.8474228293705914, ""2023/2024"": 1.8445790974419407}",1.8403709055242463,0.009807522523476147
50,0.1,"{""2019/2020"": 1.8230679383131114, ""2020/2021"": 1.8421996743101556, ""2021/2022"": 1.8457978374754005, ""2022/2023"": 1.848460539128856, ""2023/2024"": 1.8431361287887}",1.8405324236032445,0.010064130005796243
50,0.15,"{""2019/2020"": 1.825238746936357, ""2020/2021"": 1.8422953491091592, ""2021/2022"": 1.8461866849078414, ""2022/2023"": 1.848506996781484, ""2023/2024"": 1.8430849459481407}",1.8410625447365967,0.00918802439112359
50,0.2,"{""2019/2020"": 1.82675418430166, ""2020/2021"": 1.843069851075933, ""2021/2022"": 1.84689215300068, ""2022/2023"": 1.8489506639595807, ""2023/2024"": 1.844672110313038}",1.842067792530178,0.008845077196989425
50,0.25,"{""2019/2020"": 1.8271725398624477, ""2020/2021"": 1.844375772632016, ""2021/2022"": 1.8486073029532948, ""2022/2023"": 1.8492639293075772, ""2023/2024"": 1.8467056593798354}",1.843225040827034,0.00917276670491743
50,0.35,"{""2019/2020"": 1.828863329827342, ""2020/2021"": 1.8453358572189742, ""2021/2022"": 1.8493000800775132, ""2022/2023"": 1.8502366876591685, ""2023/2024"": 1.8493353284378067}",1.8446142566441608,0.009006519772173186
50,0.5,"{""2019/2020"": 1.831646036185851, ""2020/2021"": 1.846504616469718, ""2021/2022"": 1.8486663606520757, ""2022/2023"": 1.8519346821093146, ""2023/2024"": 1.8523793556977375}",1.8462262102229396,0.008500899505617141
