start,block,params_json,fold_loglosses_json,logloss_mean,logloss_std
03_best,n_estimators+learning_rate,"{""enable_categorical"": true, ""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 1200, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.9405353193947765, ""2020/2021"": 1.9109311154290525, ""2021/2022"": 1.9042806085456612, ""2022/2023"": 1.8984320365661922, ""2023/2024"": 1.8912824986631915}",1.9090923157197746,0.019013332990481316
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8263579712760238, ""2020/2021"": 1.844754055642868, ""2021/2022"": 1.8452580380280061, ""2022/2023"": 1.8491790585875316, ""2023/2024"": 1.8454586544574545}",1.8422015555983768,0.009030098925824943
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8263450296654034, ""2020/2021"": 1.844754055642868, ""2021/2022"": 1.8452580380280061, ""2022/2023"": 1.8491790585875316, ""2023/2024"": 1.8454586544574545}",1.8421989672762529,0.009035775609033696
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 10, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8263450296654034, ""2020/2021"": 1.844754055642868, ""2021/2022"": 1.8452580380280061, ""2022/2023"": 1.8491790585875316, ""2023/2024"": 1.8454586544574545}",1.8421989672762529,0.009035775609033696
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 20, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.82644946549589, ""2020/2021"": 1.844754055642868, ""2021/2022"": 1.8452580380280061, ""2022/2023"": 1.8491790585875316, ""2023/2024"": 1.8454586544574545}",1.8422198544423503,0.008989970114238952
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 2, ""min_child_weight"": 30, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8263638659050896, ""2020/2021"": 1.844754055642868, ""2021/2022"": 1.8452580380280061, ""2022/2023"": 1.8491790585875316, ""2023/2024"": 1.8454586544574545}",1.84220273452419,0.009027513363777925
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8275278202002072, ""2020/2021"": 1.8435856368250032, ""2021/2022"": 1.844791097856875, ""2022/2023"": 1.8491268589255787, ""2023/2024"": 1.8440904346617815}",1.8418243696938892,0.008287886714101847
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.827364776358904, ""2020/2021"": 1.843607848591742, ""2021/2022"": 1.844890873871994, ""2022/2023"": 1.8491268589255787, ""2023/2024"": 1.8440904346617815}",1.8418161584819999,0.008368469790890896
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.827821501786627, ""2020/2021"": 1.8436278996688977, ""2021/2022"": 1.8448627028971853, ""2022/2023"": 1.849121065205566, ""2023/2024"": 1.8440904346617815}",1.8419047208440116,0.008168675427286885
03_best,max_depth+min_child_weight,"{""enable_categorical"": true, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 20, ""n_estimators"": 400, ""objective"": ""count:poisson"", ""random_state"": 2026, ""verbosity"": 0}","{""2019/2020"": 1.8283119561468537, ""2020/2021"": 1.8437928223240962, ""2021/2022"": 1.8448319806331719, ""2022/2023"": 1.849197814136429, ""2023/2024"": 1.8443939029331815}",1.8421056952347463,0.008001254790670724
